"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.total_current_Ca_intake_per_year_per_person"," 6.1e+05","9.3e+05","1.0e+06","1.2e+06","1.4e+06","1.7e+06","2.0e+06","2.3e+06","8.2e+06","1.5e+06","0.000","0","1.00"
"y.total_current_Fe_intake_per_year_per_person"," 6.1e+05","9.3e+05","1.0e+06","1.2e+06","1.4e+06","1.7e+06","2.0e+06","2.3e+06","8.2e+06","1.5e+06","0.000","0","1.00"
"y.yearly_Ca_rdi"," 1.5e+06","1.6e+06","1.6e+06","1.6e+06","1.7e+06","1.7e+06","1.7e+06","1.8e+06","1.9e+06","1.7e+06","0.000","0","1.00"
"y.yearly_Fe_rdi"," 5.0e+03","8.7e+03","9.9e+03","1.2e+04","1.4e+04","1.7e+04","1.9e+04","2.0e+04","2.5e+04","1.4e+04","0.000","0","1.00"
"y.total_current_kcal_intake_per_year_all_athlete"," 2.0e+09","2.8e+09","3.0e+09","3.5e+09","4.0e+09","4.4e+09","4.8e+09","5.1e+09","6.4e+09","3.9e+09","0.000","0","1.00"
"y.total_kcal_need_yearly"," 1.9e+09","3.1e+09","3.5e+09","4.0e+09","4.4e+09","4.9e+09","5.3e+09","5.6e+09","6.3e+09","4.4e+09","0.000","0","1.00"
"y.model_check_current_kcal"," 2.0e+09","2.8e+09","3.0e+09","3.5e+09","4.0e+09","4.4e+09","4.8e+09","5.1e+09","6.4e+09","3.9e+09","0.000","0","1.00"
"y.total_current_protein_intake_per_year_all_athlete"," 3.3e+07","5.2e+07","5.7e+07","6.4e+07","7.4e+07","8.5e+07","9.8e+07","1.1e+08","2.3e+08","7.7e+07","0.000","0","1.00"
"y.total_protein_need_gram"," 7.2e+07","1.0e+08","1.1e+08","1.3e+08","1.5e+08","1.6e+08","1.8e+08","1.9e+08","2.4e+08","1.5e+08","0.000","0","1.00"
"y.total_current_CHO_intake_per_year_all_athlete"," 1.1e+08","2.1e+08","2.5e+08","3.1e+08","4.0e+08","5.2e+08","6.5e+08","7.8e+08","2.7e+09","4.4e+08","0.000","0","1.00"
"y.total_carb_need_gram"," 3.1e+08","4.8e+08","5.2e+08","5.9e+08","6.6e+08","7.4e+08","8.0e+08","8.3e+08","1.1e+09","6.6e+08","0.000","0","1.00"
"y.total_current_fat_intake_per_year_all_athlete"," 4.3e+07","8.5e+07","9.5e+07","1.1e+08","1.3e+08","1.5e+08","1.7e+08","1.8e+08","2.4e+08","1.3e+08","0.000","0","1.00"
"y.total_fat_need_gram"," 5.6e+07","9.1e+07","1.0e+08","1.2e+08","1.3e+08","1.5e+08","1.7e+08","1.8e+08","2.3e+08","1.3e+08","0.000","0","1.00"
"y.total_before_after_training_protein_gram_per_year_per_person"," 3.0e+04","4.1e+04","4.6e+04","5.1e+04","6.2e+04","1.0e+05","1.2e+05","1.2e+05","1.6e+05","7.5e+04","0.000","0","1.00"
"y.total_training_provided_protein_gram_per_year_per_person"," 1.7e+04","3.0e+04","3.3e+04","3.9e+04","5.1e+04","8.1e+04","9.6e+04","1.0e+05","1.4e+05","6.0e+04","0.000","0","1.00"
"y.total_protein_provided_gram_per_year_all_athletes"," 4.0e+07","7.0e+07","7.8e+07","9.4e+07","1.2e+08","1.6e+08","2.0e+08","2.2e+08","3.3e+08","1.3e+08","0.000","0","1.00"
"y.total_carb_provided_gram_per_year_all_athletes"," 3.1e+08","4.8e+08","5.2e+08","5.9e+08","6.6e+08","7.4e+08","8.0e+08","8.4e+08","1.1e+09","6.6e+08","0.000","0","1.00"
"y.total_fat_oil_provided_per_year_all_athletes"," 5.6e+07","9.1e+07","1.0e+08","1.2e+08","1.3e+08","1.5e+08","1.7e+08","1.8e+08","2.3e+08","1.3e+08","0.000","0","1.00"
"y.total_kcal_provided_per_year_all_athletes"," 2.7e+09","3.5e+09","3.6e+09","4.0e+09","4.4e+09","4.7e+09","5.1e+09","5.3e+09","6.1e+09","4.4e+09","0.000","0","1.00"
"y.total_Ca_provided_per_year_per_person"," 8.1e+05","1.1e+06","1.2e+06","1.4e+06","1.8e+06","2.2e+06","2.6e+06","2.8e+06","3.5e+06","1.8e+06","0.000","0","1.00"
"y.total_Fe_provided_per_year_per_person"," 2.3e+04","3.2e+04","3.6e+04","4.2e+04","5.0e+04","6.0e+04","7.1e+04","7.9e+04","1.2e+05","5.2e+04","0.000","0","1.00"
"y.total_egg_serving_per_year_all_athletes"," 2.7e+05","5.8e+05","6.5e+05","7.8e+05","9.9e+05","1.6e+06","1.9e+06","2.1e+06","2.7e+06","1.2e+06","0.000","0","1.00"
"y.total_dairy_serving_per_year_all_athletes"," 2.7e+05","5.8e+05","6.5e+05","7.8e+05","9.9e+05","1.6e+06","1.9e+06","2.1e+06","2.7e+06","1.2e+06","0.000","0","1.00"
"y.total_sandwich_serving_per_year_all_athletes"," 2.7e+05","5.8e+05","6.5e+05","7.8e+05","9.9e+05","1.6e+06","1.9e+06","2.1e+06","2.7e+06","1.2e+06","0.000","0","1.00"
"y.total_vegetable_mushroom_serving_per_year_all_athletes"," 4.0e+05","8.1e+05","9.1e+05","1.1e+06","1.2e+06","1.4e+06","1.6e+06","1.7e+06","2.0e+06","1.2e+06","0.000","0","1.00"
"y.total_bean_nut_serving_per_year_all_athletes"," 2.7e+05","5.4e+05","6.1e+05","7.1e+05","8.3e+05","9.5e+05","1.0e+06","1.1e+06","1.3e+06","8.3e+05","0.000","0","1.00"
"y.total_fruit_serving_per_year_all_athletes"," 2.7e+05","5.4e+05","6.1e+05","7.1e+05","8.3e+05","9.5e+05","1.0e+06","1.1e+06","1.3e+06","8.3e+05","0.000","0","1.00"
"y.total_sports_drink_serving_per_year_all_athletes"," 1.6e+05","3.5e+05","4.0e+05","4.9e+05","6.0e+05","7.4e+05","8.7e+05","9.7e+05","1.4e+06","6.3e+05","0.000","0","1.00"
"y.total_chicken_serving_per_year_all_athletes"," 7.5e+04","1.6e+05","1.9e+05","2.4e+05","3.0e+05","3.7e+05","4.3e+05","4.6e+05","7.3e+05","3.1e+05","0.000","0","1.00"
"y.total_pork_serving_per_year_all_athletes"," 9.7e+04","1.7e+05","2.0e+05","2.5e+05","3.0e+05","3.7e+05","4.2e+05","4.6e+05","6.7e+05","3.1e+05","0.000","0","1.00"
"y.total_beef_serving_per_year_all_athletes"," 9.7e+04","1.7e+05","2.0e+05","2.4e+05","3.0e+05","3.7e+05","4.3e+05","4.8e+05","6.5e+05","3.1e+05","0.000","0","1.00"
"y.total_fish_serving_per_year_all_athletes"," 5.0e+04","1.7e+05","2.0e+05","2.5e+05","3.0e+05","3.7e+05","4.4e+05","4.8e+05","6.1e+05","3.1e+05","0.000","0","1.00"
"y.total_prawn_serving_per_year_all_athletes"," 8.7e+04","1.7e+05","2.0e+05","2.5e+05","3.1e+05","3.7e+05","4.3e+05","4.7e+05","6.4e+05","3.1e+05","0.000","0","1.00"
"y.total_rice_noodle_serving_per_year_all_athletes"," 8.3e+05","1.9e+06","2.1e+06","2.6e+06","3.1e+06","3.5e+06","4.0e+06","4.3e+06","5.4e+06","3.0e+06","0.000","0","1.00"
"y.total_fat_oil_serving_per_year_all_athletes","-1.9e+06","7.9e+05","1.5e+06","2.5e+06","3.8e+06","4.9e+06","5.9e+06","6.6e+06","9.7e+06","3.7e+06","0.014","0","0.99"
